"Electrodermal activity, mean ","Blood volume pulse, standard deviation","Electrodermal activity, 75th percentile ","Skin Temperature, median ","Electrodermal activity, maximum ","Skin temperature, mean ","Heart rate, maximum ","AU07 (lid tightener), mean","Wrist Acceleration in Y-axis, mean ","AU45, blink count","Gaze angle in Y-axis, mean ","AU06 (cheek raiser), mean","AU04 (brow lowerer), standard deviation","AU14 (dimpler), mean",Productivity,Mood,Stress_Numeric,Stress
-0.1080123189,19.67472354,2.368173891,-0.726689151,-2.776471895,-0.275865517,1.642689458,0.2289814729,-3.2406,14,0.3408768587,-0.0196422143,0.2244795593,0.863978377,90,0,0,Boredom
-0.1072127362,59.3722436,2.65839537,-0.373988223,-5.157991056,-0.2990970632,6.791350659,0.2054263175,-3.2688,12,0.3083831825,-0.02024306815,0.3150949575,0.9312935516,90,0,0,Boredom
-0.1059134143,25.88559231,3.381783236,-0.6396161094,-4.234322368,-0.3184731612,4.706699914,0.2994810577,-4.2885,6,0.2859539193,-0.02024306815,0.4904664122,1.286221186,90,0,0,Boredom
-0.1009160224,-8.012100085,2.801340278,-0.715667247,-2.764579165,-0.3466475895,4.238900388,0.1486119463,-4.5396,4,0.3512288263,-0.02024306815,0.3178202326,1.095774069,90,0,0,Boredom
-0.1074126319,51.05337505,1.358896211,-0.544827735,-3.762577415,-0.3702745662,-1.123022361,0.2480578311,-3.6979,3,0.3449984754,-0.02004278353,0.4307828868,1.052521785,90,0,0,Boredom
-0.1085120581,68.63009595,0.4925634375,-0.6131635398,-5.361158525,-0.4414520693,1.517331416,0.2297279391,-0.4573,3,0.3326336252,-0.02024306815,0.7272928211,1.098667707,90,0,0,Boredom
-0.103614614,26.05528818,2.225228984,-0.489718215,-5.65550359,-0.4974054953,1.942039114,0.276257665,2.9094,2,0.3272659383,-0.02014292584,0.7132576542,1.123720527,90,0,0,Boredom
-0.1050138838,54.11167169,3.381783236,-0.7509373398,-3.870603045,-0.5433742994,0.2691016356,0.1540860317,2.4677,2,0.3489283891,-0.02024306815,0.1620707588,1.047419843,90,0,0,Boredom
-0.1171075723,28.0727835,-4.415211722,-1.488302717,-3.232359874,-0.5874648082,3.62281147,0.1113715774,-0.1219,5,0.3010984645,-0.02024306815,-0.02529190647,1.135599675,90,0,0,Boredom
-0.1137093457,22.71416509,2.801340278,-1.975470874,-3.615900413,-0.669813225,4.215395755,0.212476276,46.4854,2,0.3144218303,-0.01994264123,-0.03224135806,1.092956578,90,0,0,Boredom
-0.02625498689,34.8379921,-0.9498806297,0.3611727738,-4.635702002,0.08812832506,10.01884253,0.3883934752,-24.2458,5,0.3941703217,0.02351912014,0.1949103242,0.183516386,95,0,15,Boredom
-0.007664688893,41.79929371,-5.428821066,0.2123770698,-5.657485712,0.1154130346,4.341327082,0.3450154954,-2.8719,5,0.3977168291,0.1732318695,0.2909762726,0.2364395153,95,0,15,Boredom
-0.02295670821,36.16916191,-5.428821066,0.331413633,-5.230338496,0.1350857056,-1.191529767,1.014015084,4.3583,2,0.3933076577,-0.01483538355,0.5986598349,0.1789474828,95,0,15,Boredom
-0.02845383934,38.0433585,-5.428821066,0.4162822938,-4.550470771,0.1510017861,13.05877506,1.06767771,3.599,3,0.4099858278,0.01080104711,0.6077895066,0.1777291086,95,0,15,Boredom
-0.03654961427,52.23370408,-5.281544495,0.5694867594,-4.363160275,0.1573286753,13.32936499,0.8797341107,4.6646,4,0.4531190262,-0.01653780278,0.7676268931,0.1727794634,95,0,15,Boredom
-0.04534502408,27.95965292,1.215951303,0.6708882762,-4.570291987,0.1576252482,14.00803738,0.9508972209,5.025,3,0.4001131179,0.009799624038,0.5239872963,0.1732363537,95,0,15,Boredom
-0.04914304195,20.50434778,-5.428821066,-0.004754439017,0.3949227426,0.1685984466,12.29926967,0.5546066138,5.0292,2,0.4860919602,0.1065370929,0.3334905646,0.2091022442,95,0,15,Boredom
-0.05254126846,49.87304601,-5.428821066,-0.197637759,-1.607020123,0.1625681304,1.811999254,0.2595036461,6.8458,6,0.5069875985,0.0546633777,0.2438290128,0.1727794634,95,0,15,Boredom
-0.05513991227,45.48357956,-4.705433201,0.1594719306,-3.476160837,0.1780887803,5.71577483,0.7613777489,6.2938,4,0.3857353851,0.0244204009,0.09243997922,0.1822980118,95,0,15,Boredom
-0.06003735636,44.12978363,2.515450463,0.2002529754,-3.574275859,0.183723666,7.720930232,0.7551571973,6.9604,8,0.3964707589,0.01831172016,0.2104443924,0.1768153279,95,0,15,Boredom
0.1371597294,58.39932062,4.100839437,-0.03230919902,3.279900802,-0.7263597968,14.55800757,1.708062761,-2.8323,7,0.4032762191,0.0134047471,0.9013016383,1.695290324,100,5,5,Boredom
0.1235668233,28.10295165,-1.673268495,0.3501508698,3.043037265,-0.7286335226,1.348308262,1.809250401,-1.6094,2,0.4043305862,0.1318730966,1.139218157,1.5263932,100,5,5,Boredom
0.09248304547,20.44778249,5.833504983,0.2057639274,2.906270871,-0.7470210443,16.86643007,1.55113898,-3.2802,12,0.3615807939,0.1470947273,0.8880840539,1.832585866,100,5,5,Boredom
0.08268815728,37.27029954,-1.673268495,0.518786001,1.179842915,-0.7570056662,-1.308670743,2.107836877,-3.4427,2,0.357075771,0.7891070593,1.364325883,1.315386018,100,5,5,Boredom
0.09867981147,45.570313,-1.673268495,1.172384908,3.909224426,-0.7615531178,1.434587464,2.945371944,-2.9521,10,0.345094327,1.687683983,2.817987638,1.394123451,100,5,5,Boredom
0.09778028092,114.2481163,3.381783236,0.9519468282,5.220397896,-0.7724274586,-4.374496597,2.961296556,-2.849,2,0.2427248693,1.719629379,2.505534845,1.405164967,100,5,5,Boredom
0.1189692227,27.79749909,-1.673268495,-0.02679824702,1.653569989,-0.7820166499,8.709558028,0.969475935,-3.3635,2,0.3910072204,0.1540045465,0.7392840317,0.964189655,100,5,5,Boredom
-0.04864330275,-10.34636102,0.3496185299,0.259771257,3.073760151,-0.7993167375,2.223999163,1.308122764,-2.499,6,0.4021260005,0.1167516082,0.9304620822,1.082676546,100,5,5,Boredom
-0.05543975578,47.42188347,6.413947941,0.540829809,1.547526481,-0.8222517107,14.4230948,1.425483837,-2.4677,7,0.1818591337,0.3434737919,1.051736826,1.090443682,100,5,5,Boredom
0.1766391256,61.66502333,-1.673268495,-0.1403238582,-0.5188353374,-0.8574450317,-1.889884901,1.059632463,-1.0104,11,0.4340445673,0.1293695389,0.756453265,0.9628951324,100,5,5,Boredom
-0.04614460679,27.8201252,-4.415211722,-0.4246889814,-4.733817023,-0.01932993304,-10.2947977,0.2214338703,-3.8146,10,0.1707403536,0.01370517402,0.01981139696,0.3882032517,100,10,0,Boredom
-0.07602901055,11.97053113,1.068674732,-1.177485025,-4.747691875,-0.04503292026,0.8340727539,0.3198844669,47.6823,7,0.2966892931,-0.02024306815,0.5854422505,0.6400259693,100,10,0,Boredom
-0.3198017891,45.22337922,5.114448782,-1.233696735,-1.909293674,-0.0733062062,2.534336757,0.1146892049,0.1135,2,0.3666609262,-0.02024306815,0.08099382366,0.7802151507,100,10,0,Boredom
-0.4727219823,28.84961347,3.381783236,-0.958149135,-3.675364063,-0.1127504058,5.375435388,0.1527589807,-3.151,4,0.3274576414,-0.02024306815,0.2709455003,0.8182893445,100,10,0,Boredom
-0.4306439422,31.25552378,-4.415211722,-1.207244165,-4.538578041,-0.1409248341,6.257814599,0.3587836496,-3.0688,4,0.2547063133,-0.02024306815,-0.04000839218,0.5907579626,100,10,0,Boredom
-0.112909763,36.50101161,1.935007505,-1.429886626,-1.819107139,-0.1789850267,2.09090179,0.2555224931,-2.9823,3,0.3406851556,-0.01944192969,0.07840481229,0.7186872536,100,10,0,Boredom
-0.1125099717,44.2994795,3.091561757,-0.467674407,-4.352258606,-0.2277218448,2.778651174,0.3789382367,-1.801,4,0.2824074119,-0.02024306815,-0.05118202022,0.7316324795,100,10,0,Boredom
-0.1108108584,21.22084145,-4.415211722,-1.065061604,-2.911256167,-0.2319727235,4.706699914,0.1822029249,-0.3375,9,0.3376179059,-0.02024306815,0.09857184826,0.8827108804,100,10,0,Boredom
-0.09831737858,53.44420128,-3.982045335,-1.038609034,-4.9468951,-0.2418584878,0.5010904526,0.2019428086,-0.9854,3,0.282599115,-0.02024306815,0.00005315225409,0.7793013701,100,10,0,Boredom
-0.1145089284,27.26201435,-4.415211722,-1.028689321,-3.158030313,-0.2442310712,-2.012854261,0.09901341487,-1.0094,4,0.3345506562,-0.02024306815,0.05278722605,0.8686995771,100,10,0,Boredom
0.1573491928,38.60146935,-2.249379789,-0.886506759,-3.859701376,-0.1448791398,10.21891855,0.3949457895,6.799,11,0.4029886645,0.04955612003,1.075037928,0.4174442325,100,0,10,Boredom
0.1520519573,53.34615477,-2.249379789,-0.03782015102,-0.2859360437,-0.1490311609,9.856029946,0.5437413837,6.5042,14,0.257773563,0.3321577112,0.625503795,0.4811804329,100,0,10,Boredom
0.1489535743,18.06826932,0.7827849164,0.838421217,-3.250198969,-0.1594112134,10.78761601,-0.00822889467,7.7,10,0.3792174795,-0.02024306815,0.6869587492,0.3930006001,100,0,10,Boredom
0.1461550348,29.96583518,5.400338597,-0.2207837574,2.128288124,-0.1737455716,16.76964066,0.9907087511,7.6292,14,0.2082183105,0.8358735168,0.8733675682,0.4590974005,100,0,10,Boredom
0.1446558173,50.81957185,-2.106434882,-0.003652248617,-1.778473645,-0.1841256242,13.7534994,1.609446283,7.276,12,0.1515700432,1.202294219,0.7082158952,0.3859949485,100,0,10,Boredom
0.1700425683,26.82834713,5.980781555,0.3336180138,-1.738831212,-0.2183303687,7.458748471,1.246995477,40.2719,15,0.1848305318,1.08903327,1.248092899,0.323020232,100,0,10,Boredom
0.1551503403,39.97034935,-1.097157201,-0.2340100422,1.457339946,-0.1989542706,13.50201894,1.445223721,52.0292,16,0.1543497382,1.100249208,0.9071609798,0.419500239,100,0,10,Boredom
0.1180696922,58.56147445,-2.249379789,-0.4379152662,3.875528358,-0.1634643768,13.16435482,1.574196491,3.0615,12,0.1318246235,1.023840628,0.9925983552,0.2793872059,100,0,10,Boredom
0.1499530527,24.36210052,4.391060916,-0.285812991,1.647623625,-0.1671221095,21.376071,1.328692055,3.026,14,0.1814757275,0.9616522548,1.193859924,0.2991857867,100,0,10,Boredom
0.09897965498,61.47647236,-2.249379789,-0.4301999334,3.474148724,-0.1635632344,13.586005,1.362283033,26.8167,8,0.1664270338,1.084927435,0.9514467007,0.5361595687,100,0,10,Boredom
-0.5567781146,48.76059532,-0.8069357221,-0.07970338621,0.5019573116,-0.4954283424,5.137235997,1.127809708,18.2104,9,0.3613890908,0.09972741598,0.6245499487,0.9559656292,7,3,0,Boredom
-0.5906604319,26.04397512,1.64911769,0.5496473322,-0.3731493963,-0.537937129,10.08047053,1.049513699,26.2094,10,0.4072061327,0.05816835846,1.098747822,1.144737482,7,3,0,Boredom
-0.6154474959,57.28686993,-0.08354785662,0.04374193858,4.429531358,-0.57144987,19.91238209,0.6638394999,-2.0656,11,0.4394122543,0.3703119303,1.587117125,1.952976467,7,3,0,Boredom
-0.6447322127,58.73871236,3.814949622,0.4493480058,3.987518231,-0.5511840532,10.76458911,1.591779917,-1.9771,5,0.3991546024,0.6143587331,1.725697366,1.389021509,7,3,0,Boredom
-0.6298399847,77.25064605,1.215951303,-0.3640685094,0.9261313444,-0.5724384465,9.47317196,0.9504825175,-0.1177,5,0.3839142056,0.3453764958,0.9277368071,1.776083763,7,3,0,Boredom
-0.631539098,-3.690511979,-2.682546176,-0.5051488806,4.737751275,-0.6170232435,15.16272636,1.678535876,4.549,7,0.3167222675,0.5151177066,1.703895165,1.324980715,7,3,0,Boredom
-0.622843636,78.52525057,4.96717221,-1.266762447,-0.8082250981,-0.6449010989,11.80853879,0.9655777227,16.0438,8,0.4505310343,0.08821105064,0.7395565592,1.286449631,7,3,0,Boredom
-0.5638744112,3.059612549,-2.249379789,0.2355230682,5.95873821,-0.6763378294,7.701151943,1.407319827,-2.9979,8,0.4836956713,0.3745179072,1.405886329,0.7793775185,7,3,0,Boredom
-0.4392394563,65.83577066,0.05939705094,-0.06427272061,3.346301877,-0.6585434536,13.19674535,1.34859782,-3.074,4,0.3935952123,0.2429309154,1.17887091,1.580001665,7,3,0,Boredom
-0.4315434727,-10.13518394,1.358896211,-0.5316014502,4.501878799,-0.636003911,14.39013099,1.091481687,4.3094,4,0.4732478522,0.455933603,1.404796219,1.688893859,7,3,0,Boredom
0.0352129339,45.14795884,-0.5167142432,0.3986472474,1.047040765,-0.6380799215,4.717019021,0.005041615404,12.8125,11,0.4049056955,-0.02014292584,-0.06426334085,0.1716372376,6,2,0,Boredom
0.02062054945,39.7252331,0.05939705094,0.4173844842,0.037149785,-0.6442090954,14.78397691,-0.02622702396,12.1,5,0.3899528534,-0.02014292584,-0.06426334085,0.2145849281,6,2,0,Boredom
0.04550756129,14.13132518,-0.6639908146,0.4350195306,-4.046020811,-0.6807864234,10.38507528,0.007778658107,12.5177,6,0.3859270882,-0.02014292584,-0.06330949456,0.2178593088,6,2,0,Boredom
0.05160437945,54.71503478,-2.682546176,0.6212897082,-0.2780075571,-0.8226471413,8.242618428,0.01623860828,12.6427,2,0.3533375605,-0.02014292584,-0.06249191202,0.1765107344,6,2,0,Boredom
0.09108377573,45.53260281,-1.963489974,0.1848223098,-2.117416447,-0.9047978427,2.412705058,-0.01685472622,11.8719,3,0.3255406103,-0.02014292584,-0.02065893875,0.1705711601,6,2,0,Boredom
0.1215678665,37.33817789,0.3496185299,-0.08411214781,-2.239316928,-0.9573901089,8.948521797,0.009520412554,12.9073,4,0.3830515416,-0.02004278353,-0.06208312075,0.2554766122,6,2,0,Boredom
0.1010785596,46.78458121,-1.673268495,0.3611727738,-0.5644241354,-1.010575521,9.050184112,-0.02987641423,10.8292,8,0.4493808157,-0.02014292584,-0.06330949456,0.1726271666,6,2,0,Boredom
0.1378593642,40.88670704,-0.9498806297,0.2002529754,-1.741804395,-1.062475784,11.74576422,-0.03452109275,6.501,7,0.4258013339,-0.02014292584,-0.06167432948,0.1792520763,6,2,0,Boredom
0.1405579559,37.50787376,-8.894152159,0.9034504506,0.08472070457,-1.076216996,2.676320028,-0.004081860272,8.0927,6,0.4093148669,-0.02014292584,-0.06426334085,0.170342715,6,2,0,Boredom
0.1446558173,65.8621678,-1.673268495,0.2123770698,-3.041085135,-1.044384835,9.639328695,-0.03551638101,10.9948,16,0.439891512,-0.02014292584,-0.0600391644,0.1718656827,6,2,0,Boredom
0.08698591434,43.71497151,-1.963489974,-0.1182800502,-0.7983144899,0.2503537175,8.190545156,0.00885688705,-11.2188,7,0.1901982187,-0.009728125882,0.0899872316,0.2140518894,10,3,0,Boredom
0.08148878321,-46.31811403,-1.816213403,-0.03782015102,1.06487986,0.2620189194,11.81532265,-0.0321158128,-4.6052,5,0.3677152933,-0.02024306815,-0.06439960461,0.1702665666,10,3,0,Boredom
0.08528680108,43.76776578,-0.230824428,-1.029791511,4.818027202,0.2224758621,14.73572553,0.005290437468,10.6542,1,0.4307856146,0.1948626079,0.1414949316,0.1986699151,10,3,0,Boredom
0.09318268034,79.78477101,-0.08354785662,-0.05214862622,-1.657564225,0.1588115399,7.880207562,-0.03526755895,9.2104,5,0.2998523944,0.004492081752,-0.03592047948,0.2054471216,10,3,0,Boredom
0.08498695757,27.390229,0.4925634375,-0.7884118134,-5.325480335,0.106713562,10.60970696,-0.02979347354,9.0625,3,0.2090809745,-0.02024306815,-0.06262817577,0.4463044714,10,3,0,Boredom
0.08858507976,49.13392623,-6.728320226,-1.3295873,-3.633739508,0.1744310475,7.138951696,-0.02979347354,-3.7354,6,0.2246089259,-0.01713865662,-0.04477762366,0.5910625561,10,3,0,Boredom
0.09917955066,68.32841441,-6.871265134,-0.627492015,-4.968698439,0.2963225215,12.70983637,-0.03178405005,-2.9563,1,0.2514473605,-0.02024306815,-0.0622193845,0.4852162974,10,3,0,Boredom
0.1029775685,33.50305127,-2.106434882,-0.05214862622,-0.3751315179,0.3604811319,14.73572553,0.02693795703,-3.9385,5,0.3563089586,0.00569378944,-0.04000839218,0.2113866958,10,3,0,Boredom
0.08608638379,47.30121085,-1.097157201,0.2608734474,12.18458231,0.360184559,11.3905194,0.01482861658,0.6417,7,0.4626083299,0.0477535585,0.08726195647,0.1818411215,10,3,0,Boredom
0.09578132414,-17.69607762,-0.230824428,-0.09954281341,7.807066648,0.2999802543,6.05936288,-0.02100176062,29.8323,7,0.413148929,-0.01854064892,-0.0559512517,0.2206767991,10,3,0,Boredom
0.1072753256,34.80028191,-1.097157201,0.5220925722,2.722924619,-0.5347736844,9.899503962,-0.0335258045,21.874,4,0.1893355548,-0.02024306815,-0.06439960461,0.822325209,14,4,0,Boredom
0.1023778815,58.30881616,-0.6639908146,-0.1557545238,0.05498887984,-0.5743167417,11.68681155,-0.03410638931,19.7885,4,0.1711237599,-0.02024306815,-0.06153806572,0.8489009963,14,4,0,Boredom
0.1024778293,29.57742019,0.3496185299,-0.5029444998,0.330503789,-0.5840047907,3.427321718,-0.03543344032,18.1677,3,0.214544513,-0.02024306815,-0.06439960461,0.961829055,14,4,0,Boredom
0.1041769426,39.00873944,0.05939705094,-0.4864116438,0.3681641003,-0.5965597114,9.094804696,-0.0355993217,17.626,2,0.1837761647,-0.02024306815,-0.06439960461,0.9542142163,14,4,0,Boredom
0.1029775685,33.01281877,-0.08354785662,-0.2681779446,-0.2106154211,-0.6234489903,12.84837993,-0.022494693,14.7729,9,0.1844471256,-0.02024306815,-0.01984135621,0.8363365124,14,4,0,Boredom
0.100179029,81.28940771,-0.3737693356,-0.2053530918,1.709069396,-0.662596617,4.399037644,-0.03244757555,19.4229,10,0.1578003941,-0.02024306815,-0.06439960461,0.9381469065,14,4,0,Boredom
0.1011785074,20.29694172,-1.097157201,-0.4026451734,1.127316692,-0.6952196393,1.627879629,-0.03302816037,13.6615,8,0.1684399164,-0.02024306815,-0.06399081334,1.03477921,14,4,0,Boredom
0.09997913337,22.20507748,-1.097157201,-0.1844114742,1.531669508,-0.7347626965,15.10778667,-0.03501873688,11.601,14,0.1675772524,-0.02024306815,-0.06439960461,0.9108857838,14,4,0,Boredom
